DateReportedAsOf,ProjectID,ProjectName,Description,Category,Borough,ManagingAgency,ClientAgency,CurrentPhase,DesignStart,BudgetForecast,LatestBudgetChanges,TotalBudgetChanges,ForecastCompletion,LatestScheduleChanges,TotalScheduleChanges
Feb-15,94,New Ferry Boat Construction,Replace the two Barberi class boats and the John F. Kennedy boat which are approaching the end of their useful lives with new Staten Island ferries. Replacement is needed to continue reliable service.,Ferries,,DOT,DOT,Design,9/15/2014,244317052,-16306318,-238419180,2/11/2020,-505,549
Aug-15,94,New Ferry Boat Construction,Replace one Barberi class boat and the John F. Kennedy boat which are approaching the end of their useful lives with new Staten Island ferries. Replacement is needed to continue reliable service.,Ferries,,DOT,DOT,Design,9/15/2014,327552000,83234948,-238419180,2/11/2020,0,549
Jan-16,94,New Ferry Boat Construction,Replace one Barberi class boat and the John F. Kennedy boat which are approaching the end of their useful lives with new Staten Island ferries. Replacement is needed to continue reliable service.,Ferries,,DOT,DOT,Design,9/15/2014,331987272.6,4435272.61,-238419180,4/23/2020,72,549
Jun-16,94,New Ferry Boat Construction,Replace one Barberi class boat and the John F. Kennedy boat which are approaching the end of their useful lives with new Staten Island ferries. Replacement is needed to continue reliable service.,Ferries,,DOT,DOT,Construction Procurement,9/15/2014,347408272.6,15421000,-238419180,3/16/2020,-38,549
Nov-16,94,New Ferry Boat Construction,Replace one Barberi class boat and the John F. Kennedy boat which are approaching the end of their useful lives with new Staten Island ferries. Replacement is needed to continue reliable service.,Ferries,,DOT,DOT,Construction Procurement,9/15/2014,350642272.6,3234000,-238419180,3/16/2020,0,549
Apr-17,94,New Ferry Boat Construction,Replace one Barberi class boat and the John F. Kennedy boat which are approaching the end of their useful lives with new Staten Island ferries. Replacement is needed to continue reliable service.,Ferries,,DOT,DOT,Construction Procurement,9/15/2014,348488982.5,-2153290.14,-238419180,3/16/2020,0,549
Sep-17,94,New Ferry Boat Construction,Replace one Barberi class boat and the John F. Kennedy boat which are approaching the end of their useful lives with new Staten Island ferries. Replacement is needed to continue reliable service.,Ferries,,DOT,DOT,Construction,9/15/2014,348374272,-114710.47,-238419180,2/28/2021,349,549
Mar-18,94,New Ferry Boat Construction,Replace one Barberi class boat and the John F. Kennedy boat which are approaching the end of their useful lives with new Staten Island ferries. Replacement is needed to continue reliable service.,Ferries,,DOT,DOT,Construction,9/15/2014,344078847,-4295425,-238419180,2/28/2021,0,549
Aug-18,94,New Ferry Boat Construction,Replace one Barberi class boat and the John F. Kennedy boat which are approaching the end of their useful lives with new Staten Island ferries. Replacement is needed to continue reliable service.,Ferries,,DOT,DOT,Construction,9/15/2014,285010000,-59068847,-238419180,2/8/2021,-20,549
Jan-19,94,New Ferry Boat Construction,Replace one Barberi class boat and the John F. Kennedy boat which are approaching the end of their useful lives with new Staten Island ferries. Replacement is needed to continue reliable service.,Ferries,,DOT,DOT,Construction,9/15/2014,327889390,42879390,-238419180,2/28/2021,20,549
May-19,94,New Ferry Boat Construction,Replace one Barberi class boat and the John F. Kennedy boat which are approaching the end of their useful lives with new Staten Island ferries. Replacement is needed to continue reliable service.,Ferries,,DOT,DOT,Construction,9/15/2014,349869872,21980482,-238419180,8/6/2021,159,549
Sep-19,94,New Ferry Boat Construction,Replace one Barberi class boat and the John F. Kennedy boat which are approaching the end of their useful lives with new Staten Island ferries. Replacement is needed to continue reliable service.,Ferries,,DOT,DOT,Construction,9/15/2014,349399872,-470000,-238419180,,,549
Jan-20,94,New Ferry Boat Construction,Replace one Barberi class boat and the John F. Kennedy boat which are approaching the end of their useful lives with new Staten Island ferries. Replacement is needed to continue reliable service.,Ferries,,DOT,DOT,Construction,9/15/2014,349848872,449000,-238419180,8/8/2020,-363,549
May-20,94,New Ferry Boat Construction,Replace one Barberi class boat and the John F. Kennedy boat which are approaching the end of their useful lives with new Staten Island ferries. Replacement is needed to continue reliable service.,Ferries,,DOT,DOT,Construction,9/15/2014,359998872,10150000,-238419180,,,549
Oct-20,94,New Ferry Boat Construction,Replace one Barberi class boat and the John F. Kennedy boat which are approaching the end of their useful lives with new Staten Island ferries. Replacement is needed to continue reliable service.,Ferries,,DOT,DOT,Construction,9/15/2014,367250523,7251651,-238419180,12/6/2021,485,549
Mar-21,94,New Ferry Boat Construction,,Ferries,,DOT,DOT,,,,,-238419180,,,549
Jul-21,94,New Ferry Boat Construction,Replace one Barberi class boat and the John F. Kennedy boat which are approaching the end of their useful lives with new Staten Island ferries. Replacement is needed to continue reliable service.,Ferries,,DOT,DOT,Construction,9/15/2014,23683112,-343567411,-238419180,12/6/2021,0,549
Dec-21,94,New Ferry Boat Construction,Replace one Barberi class boat and the John F. Kennedy boat which are approaching the end of their useful lives with new Staten Island ferries. Replacement is needed to continue reliable service.,Ferries,,DOT,DOT,Construction,9/15/2014,23683112,0,-238419180,8/31/2022,268,549
Apr-22,94,New Ferry Boat Construction,Replace one Barberi class boat and the John F. Kennedy boat which are approaching the end of their useful lives with new Staten Island ferries. Replacement is needed to continue reliable service.,Ferries,,DOT,DOT,Construction,9/15/2014,272617513,248934401,-238419180,9/4/2022,4,549
Sep-22,94,New Ferry Boat Construction,Replace one Barberi class boat and the John F. Kennedy boat which are approaching the end of their useful lives with new Staten Island ferries. Replacement is needed to continue reliable service.,Ferries,,DOT,DOT,Construction,9/15/2014,22170190,-250447323,-238419180,12/31/2022,118,549
Jan-23,94,New Ferry Boat Construction,Replace one Barberi class boat and the John F. Kennedy boat which are approaching the end of their useful lives with new Staten Island ferries. Replacement is needed to continue reliable service.,Ferries,,DOT,DOT,Construction,9/15/2014,22204190,34000,-238419180,,,549
Sep-13,97,Bruckner Expressway Westchester Creek Bridge Reconstruction,Replace existing bridge with a wider double-leaf bascule bridge.,"Bridges, Streets and Roadways",Bronx,DOT,"DEP, DOT",Design,7/23/2012," $151,775,497.00 ",,142277136,11/20/2019,,2086
Jan-14,97,Bruckner Expressway Westchester Creek Bridge Reconstruction,This project will replace the existing bridge with a new wider double-leaf bascule bridge.,"Bridges, Streets and Roadways",Bronx,DOT,"DEP, DOT",Design,7/23/2012," $152,871,246.00 "," $1,095,749.00 ",142277136,11/20/2019,0,2086
May-14,97,Bruckner Expressway Westchester Creek Bridge Reconstruction,"This project will replace the existing bridge with a new, wider double-leaf bascule bridge.","Bridges, Streets and Roadways",Bronx,DOT,"DEP, DOT",Design,7/23/2012," $195,217,224.00 "," $42,345,978.00 ",142277136,7/21/2020,244,2086
Feb-15,97,Bruckner Expressway Westchester Creek Bridge Reconstruction,"This project will replace the existing bridge with a new, wider double-leaf bascule bridge.","Bridges, Streets and Roadways",Bronx,DOT,"DEP, DOT",Design,7/23/2012," $198,569,961.00 "," $3,352,737.00 ",142277136,10/14/2020,85,2086
Aug-15,97,Bruckner Expressway Westchester Creek Bridge Reconstruction,"This project will replace the existing bridge with a new, wider double-leaf bascule bridge.","Bridges, Streets and Roadways",Bronx,DOT,"DEP, DOT",Design,7/23/2012," $198,843,972.62 "," $274,011.62 ",142277136,8/17/2020,-58,2086
Jan-16,97,Bruckner Expressway Westchester Creek Bridge Reconstruction,"This project will replace the existing bridge with a new, wider double-leaf bascule bridge.","Bridges, Streets and Roadways",Bronx,DOT,"DEP, DOT",Design,7/23/2012," $247,449,772.62 "," $48,605,800.00 ",142277136,3/4/2021,199,2086
Jun-16,97,Bruckner Expressway Westchester Creek Bridge Reconstruction,"This project will replace the existing bridge with a new, wider double-leaf bascule bridge.","Bridges, Streets and Roadways",Bronx,DOT,"DEP, DOT",Design,7/23/2012," $268,299,502.49 "," $20,849,729.87 ",142277136,3/4/2021,0,2086
Nov-16,97,Bruckner Expressway Westchester Creek Bridge Reconstruction,"Replace the existing bridge with a new, wider double-leaf bascule bridge in the Bronx.","Bridges, Streets and Roadways",Bronx,DOT,"DEP, DOT",Design,7/23/2012," $335,764,502.49 "," $67,465,000.00 ",142277136,3/4/2021,0,2086
Apr-17,97,Bruckner Expressway Westchester Creek Bridge Reconstruction,"Replace the existing bridge with a new, wider double-leaf bascule bridge in the Bronx.","Bridges, Streets and Roadways",Bronx,DOT,"DEP, DOT",Construction Procurement,7/23/2012," $324,042,014.70 "," $(11,722,487.79)",142277136,7/22/2021,140,2086
